date,time,temp,humid,condition
2018/1/10,6:00 AM,41,93,Mostly Cloudy
2018/1/10,6:30 AM,43,87,Light Rain
2018/1/10,7:00 AM,41,93,Mostly Cloudy
2018/1/10,7:30 AM,39,93,Partly Cloudy
2018/1/10,8:00 AM,39,93,Fair
2018/1/10,8:30 AM,39,87,Fair
2018/1/10,9:00 AM,37,87,Fair
2018/1/10,9:30 AM,34,93,Fair
2018/1/10,10:00 AM,32,100,Shallow Fog
2018/1/10,10:30 AM,34,93,Fog
2018/1/10,11:00 AM,34,100,Fair
2018/1/10,11:30 AM,36,100,Fair
2018/1/10,12:00 PM,41,93,Fair
2018/1/10,12:30 PM,43,87,Fair
2018/1/10,1:00 PM,45,87,Fair
2018/1/10,1:30 PM,45,81,Fair
2018/1/10,2:00 PM,43,87,Partly Cloudy
2018/1/10,2:30 PM,43,93,Mostly Cloudy
2018/1/10,3:00 PM,43,93,Mostly Cloudy
2018/1/10,3:30 PM,43,93,Patches of Fog
2018/1/10,4:00 PM,41,93,Fog
2018/1/10,4:30 PM,41,93,Fog
2018/1/10,5:00 PM,39,100,Fog
2018/1/10,5:30 PM,39,100,Fog
2018/1/10,6:00 PM,39,100,Fog
2018/1/10,6:30 PM,41,100,Fog
2018/1/10,7:00 PM,41,93,Fog
2018/1/10,7:30 PM,39,100,Fog
2018/1/10,8:00 PM,39,100,Fog
2018/1/10,8:30 PM,39,100,Fog
2018/1/10,9:00 PM,39,100,Fog
2018/1/10,9:30 PM,41,100,Mist
2018/1/10,10:00 PM,41,100,Mostly Cloudy
2018/1/10,10:30 PM,41,100,Mist
2018/1/10,11:00 PM,41,100,Fog
2018/1/10,11:30 PM,41,100,Fog
2018/1/11,12:00 AM,37,93,Partly Cloudy
2018/1/11,12:30 AM,37,93,Fair
2018/1/11,1:00 AM,39,100,Mist
2018/1/11,1:30 AM,39,100,Mist
2018/1/11,2:00 AM,39,100,Mist
2018/1/11,2:30 AM,39,100,Mist
2018/1/11,3:00 AM,37,100,Mist
2018/1/11,3:30 AM,36,93,Mist
2018/1/11,4:00 AM,34,100,Mist
2018/1/11,4:30 AM,34,0,Mist
2018/1/11,5:00 AM,36,100,Mostly Cloudy
2018/1/11,5:30 AM,36,100,Mostly Cloudy
2018/1/11,6:00 AM,36,100,Mostly Cloudy
2018/1/11,6:30 AM,36,100,Mostly Cloudy
2018/1/11,7:00 AM,34,100,Mostly Cloudy
2018/1/11,7:30 AM,34,100,Mostly Cloudy
2018/1/11,8:00 AM,34,100,Mostly Cloudy
2018/1/11,8:30 AM,34,100,Mostly Cloudy
2018/1/11,9:00 AM,34,100,Mostly Cloudy
2018/1/11,9:30 AM,32,100,Partly Cloudy
2018/1/11,10:00 AM,32,100,Partly Cloudy
2018/1/11,10:30 AM,32,100,Partly Cloudy
2018/1/11,11:00 AM,34,100,Mostly Cloudy
2018/1/11,11:30 AM,34,100,Mostly Cloudy
2018/1/11,12:00 PM,36,100,Mostly Cloudy
